q1,q2,q3,q4,d,x,y,z,1
33,6,-63,59,78,575.160209333933,373.513407246526,214.854384855694,1
69,59,57,48,97,10.8814254627465,28.3470824812817,763.5638284448039,1
34,58,-90,-39,166,370.69422975393996,250.036415113376,369.20473802532797,1
107,29,89,-68,192,-126.907839142835,415.09683796650495,757.210281333633,1
28,39,60,-25,19,362.713565861008,192.858223959865,708.728720749875,1
100,24,-67,36,126,-120.894738941716,685.628135047584,308.78542443844503,1
33,9,-54,-66,84,386.239440065332,250.82682517078098,74.817073885731,1
172,48,-46,-11,174,-655.7738715561969,92.16300728452671,552.81811455353,1
99,55,66,-22,195,-22.1536286185333,139.872506245813,950.982232397482,1
28,5,-29,57,98,622.782654795938,331.139411430175,321.959478232616,1
176,55,-29,77,234,-439.234779788527,30.714287845321497,884.069440566672,1
153,23,-39,51,183,-670.6774786454271,341.727243772602,459.15144707323196,1
89,88,-4,90,128,-2.53502219060487,-145.231324032877,840.409500841221,1
91,69,-20,-8,34,-5.64703726856442,323.518548443524,804.909315283588,1
137,51,27,54,57,-138.85815128610702,129.48732090748,776.806504410625,1
155,82,-38,41,88,-130.556057112393,60.879289250030006,926.8861957730769,1
49,15,30,6,216,470.709620452554,541.4894763436099,636.1577051509059,1
48,16,-12,-4,204,556.245638929112,617.773367913832,368.77987787779097,1
23,4,23,-85,35,546.141165320139,231.82317077376499,124.418745227092,1
125,46,8,56,207,-222.527832274194,317.802680107034,895.9421252531,1
90,25,-69,70,253,0.0,766.1453815415581,325.03533712688,1
170,58,-74,-77,47,-280.699976013649,49.49497925542521,434.86885135331596,1
5,65,-64,25,206,560.645386074766,49.050115539657,731.7131774681841,1
102,34,58,-35,83,-100.339735304628,472.061339891253,718.376123232231,1
142,45,-43,42,42,-394.729091200187,308.396165318765,681.0658392199659,1
166,20,-75,-77,200,-425.575424028784,106.107870532237,91.1255692212446,1
147,67,47,83,121,28.415115322045498,-18.4529916517193,716.7188614662,1
142,38,80,-90,256,-319.600700484781,249.699433510238,823.0224722252609,1
103,31,10,-36,41,-137.027133116808,593.52972121778,509.30572611992403,1
120,62,53,-27,65,-99.6618794579317,172.61943879894298,874.7881603564391,1
62,29,77,46,75,110.32566905475099,207.492405598311,607.582143761469,1
109,69,63,73,155,30.8614121897836,-89.6280489820068,704.589434336318,1
12,19,67,-16,172,505.298715355411,107.404557552225,714.9839504978729,1
